year,number,practice_category
2022,1,C. ERM
2022,2,C. ERM
2022,3,B. MD
2022,4,C. ERM
2022,5,B. MD
2022,6,C. ERM
2022,7,C. ERM
2022,8,B. MD
2022,9,C. ERM
2022,10,None
2022,11,B. MD
2022,12,None
2022,13,C. ERM
2022,14,B. MD
2022,15,C. ERM
2022,16,A. IQ
2022,17,B. MD
2022,18,C. ERM
2022,19,C. ERM
2022,20,B. MD
2022,21,B. MD
2022,22,B. MD
2022,23,B. MD
2022,24,None
2022,25,C. ERM
2022,26,B. MD
2022,27,C. ERM
2022,28,C. ERM
2022,29,B. MD
2022,30,B. MD
2022,31,B. MD
2022,32,C. ERM
2022,33,B. MD
2022,34,C. ERM
2022,35,B. MD
2022,36,B. MD
2022,37,C. ERM
2022,38,None
2022,39,None
2022,40,B. MD
2022,41,C. ERM
2022,42,B. MD
2023,1,B. MD
2023,2,C. ERM
2023,3,C. ERM
2023,4,C. ERM
2023,5,C. ERM
2023,6,C. ERM
2023,7,B. MD
2023,8,C. ERM
2023,9,C. ERM
2023,10,B. MD
2023,11,C. ERM
2023,12,None
2023,13,None
2023,14,B. MD
2023,15,C. ERM
2023,16,B. MD
2023,17,C. ERM
2023,18,B. MD
2023,19,C. ERM
2023,20,B. MD
2023,21,B. MD
2023,22,A. IQ
2023,23,C. ERM
2023,24,B. MD
2023,25,C. ERM
2023,26,B. MD
2023,27,B. MD
2023,28,None
2023,29,B. MD
2023,30,C. ERM
2023,31,C. ERM
2023,32,B. MD
2023,33,C. ERM
2023,34,B. MD
2023,35,C. ERM
2023,36,B. MD
2023,37,C. ERM
2023,38,B. MD
2023,39,None
2023,40,A. IQ
2023,41,C. ERM
2023,42,None
